eccn_no,part_id,iso_language,beg_eff_dt,last_update_dt,parent_id,end_eff_dt,eccn_desc,iso_country,unit,notes,AT
1A004.b.1           ,US_ECCN_1A004B1,EN,1/1/1980,8/29/2017,US_ECCN_1A004,1/1/2050,"b. Protective suits, gloves and shoes, ""specially designed"" or modified for defense against any of the following:  b.1. 'Biological agents';",US,n/a,"Note: 1A004 does not control:  a. Personal radiation monitoring dosimeters;  b. Occupational health or safety equipment limited by design or function to protect against hazards specific to residential safety or civil industries, including:  1. Mining;  2. Quarrying; 3. Agriculture; 4. Pharmaceutical; 5. Medical; 6. Veterinary; 7. Environmental; 8. Waste management; 9. Food industry. Technical Notes:  1. 1A004 includes equipment, ""components"" that have been 'identified,' successfully tested to national standards or otherwise proven effective, for the detection of or defense against 'radioactive materials' """"'biological agents,' chemical warfare agents, 'simulants' or ""riot control agents,"" even if such equipment or ""components"" are used in civil industries such as mining, quarrying, agriculture, pharmaceuticals, medical, veterinary, environmental, waste management, or the food industry.  2. 'Simulant': A substance or material that is used in place of toxic agent (chemical or biological) in training, research, testing or evaluation.  3. For the purposes of 1A004, 'radioactive materials' are those selected or modified to increase their effectiveness in producing casualties in humans or animals, degrading equipment or damaging crops or the environment.",
1A004.b.2           ,US_ECCN_1A004B2,EN,12/17/2009,8/29/2017,US_ECCN_1A004,1/1/2050,"b. Protective suits, gloves and shoes, ""specially designed"" or modified for defense against any of the following:  b.2. 'Radioactive materials;' or",US,n/a,"Note: 1A004 does not control:  a. Personal radiation monitoring dosimeters;  b. Occupational health or safety equipment limited by design or function to protect against hazards specific to residential safety or civil industries, including:  1. Mining;  2. Quarrying; 3. Agriculture; 4. Pharmaceutical; 5. Medical; 6. Veterinary; 7. Environmental; 8. Waste management; 9. Food industry. Technical Notes:  1. 1A004 includes equipment, ""components"" that have been 'identified,' successfully tested to national standards or otherwise proven effective, for the detection of or defense against 'radioactive materials' """"'biological agents,' chemical warfare agents, 'simulants' or ""riot control agents,"" even if such equipment or ""components"" are used in civil industries such as mining, quarrying, agriculture, pharmaceuticals, medical, veterinary, environmental, waste management, or the food industry.  2. 'Simulant': A substance or material that is used in place of toxic agent (chemical or biological) in training, research, testing or evaluation.  3. For the purposes of 1A004, 'radioactive materials' are those selected or modified to increase their effectiveness in producing casualties in humans or animals, degrading equipment or damaging crops or the environment.",
1A004.b.3           ,US_ECCN_1A004B3,EN,12/17/2009,8/29/2017,US_ECCN_1A004,1/1/2050,"b. Protective suits, gloves and shoes, ""specially designed"" or modified for defense against any of the following:  b.3. Chemical warfare (CW) agents;",US,n/a,"Note: 1A004 does not control:  a. Personal radiation monitoring dosimeters;  b. Occupational health or safety equipment limited by design or function to protect against hazards specific to residential safety or civil industries, including:  1. Mining;  2. Quarrying; 3. Agriculture; 4. Pharmaceutical; 5. Medical; 6. Veterinary; 7. Environmental; 8. Waste management; 9. Food industry. Technical Notes:  1. 1A004 includes equipment, ""components"" that have been 'identified,' successfully tested to national standards or otherwise proven effective, for the detection of or defense against 'radioactive materials' """"'biological agents,' chemical warfare agents, 'simulants' or ""riot control agents,"" even if such equipment or ""components"" are used in civil industries such as mining, quarrying, agriculture, pharmaceuticals, medical, veterinary, environmental, waste management, or the food industry.  2. 'Simulant': A substance or material that is used in place of toxic agent (chemical or biological) in training, research, testing or evaluation.  3. For the purposes of 1A004, 'radioactive materials' are those selected or modified to increase their effectiveness in producing casualties in humans or animals, degrading equipment or damaging crops or the environment.",
1A004.c.1           ,US_ECCN_1A004C1,EN,1/1/1980,8/29/2017,US_ECCN_1A004,1/1/2050,"c. Detection systems, ""specially designed"" or modified for detection or identification of any of the following, and ""specially designed"" ""components"" therefor:  c.1. 'Biological agents';",US,n/a,"Note: 1A004 does not control:  a. Personal radiation monitoring dosimeters;  b. Occupational health or safety equipment limited by design or function to protect against hazards specific to residential safety or civil industries, including:  1. Mining;  2. Quarrying; 3. Agriculture; 4. Pharmaceutical; 5. Medical; 6. Veterinary; 7. Environmental; 8. Waste management; 9. Food industry. Technical Notes:  1. 1A004 includes equipment, ""components"" that have been 'identified,' successfully tested to national standards or otherwise proven effective, for the detection of or defense against 'radioactive materials' """"'biological agents,' chemical warfare agents, 'simulants' or ""riot control agents,"" even if such equipment or ""components"" are used in civil industries such as mining, quarrying, agriculture, pharmaceuticals, medical, veterinary, environmental, waste management, or the food industry.  2. 'Simulant': A substance or material that is used in place of toxic agent (chemical or biological) in training, research, testing or evaluation.  3. For the purposes of 1A004, 'radioactive materials' are those selected or modified to increase their effectiveness in producing casualties in humans or animals, degrading equipment or damaging crops or the environment.",
1A004.c.2           ,US_ECCN_1A004C2,EN,12/17/2009,8/29/2017,US_ECCN_1A004,1/1/2050,"c. Detection systems, ""specially designed"" or modified for detection or identification of any of the following, and ""specially designed"" ""components"" therefor:  c.2. 'Radioactive materials;' or",US,n/a,"Note: 1A004 does not control:  a. Personal radiation monitoring dosimeters;  b. Occupational health or safety equipment limited by design or function to protect against hazards specific to residential safety or civil industries, including:  1. Mining;  2. Quarrying; 3. Agriculture; 4. Pharmaceutical; 5. Medical; 6. Veterinary; 7. Environmental; 8. Waste management; 9. Food industry. Technical Notes:  1. 1A004 includes equipment, ""components"" that have been 'identified,' successfully tested to national standards or otherwise proven effective, for the detection of or defense against 'radioactive materials' """"'biological agents,' chemical warfare agents, 'simulants' or ""riot control agents,"" even if such equipment or ""components"" are used in civil industries such as mining, quarrying, agriculture, pharmaceuticals, medical, veterinary, environmental, waste management, or the food industry.  2. 'Simulant': A substance or material that is used in place of toxic agent (chemical or biological) in training, research, testing or evaluation.  3. For the purposes of 1A004, 'radioactive materials' are those selected or modified to increase their effectiveness in producing casualties in humans or animals, degrading equipment or damaging crops or the environment.",
1A004.c.3           ,US_ECCN_1A004C3,EN,12/17/2009,8/29/2017,US_ECCN_1A004,1/1/2050,"c. Detection systems, ""specially designed"" or modified for detection or identification of any of the following, and ""specially designed"" ""components"" therefor:  c.3. Chemical warfare (CW) agents;",US,n/a,"Note: 1A004 does not control:  a. Personal radiation monitoring dosimeters;  b. Occupational health or safety equipment limited by design or function to protect against hazards specific to residential safety or civil industries, including:  1. Mining;  2. Quarrying; 3. Agriculture; 4. Pharmaceutical; 5. Medical; 6. Veterinary; 7. Environmental; 8. Waste management; 9. Food industry. Technical Notes:  1. 1A004 includes equipment, ""components"" that have been 'identified,' successfully tested to national standards or otherwise proven effective, for the detection of or defense against 'radioactive materials' """"'biological agents,' chemical warfare agents, 'simulants' or ""riot control agents,"" even if such equipment or ""components"" are used in civil industries such as mining, quarrying, agriculture, pharmaceuticals, medical, veterinary, environmental, waste management, or the food industry.  2. 'Simulant': A substance or material that is used in place of toxic agent (chemical or biological) in training, research, testing or evaluation.  3. For the purposes of 1A004, 'radioactive materials' are those selected or modified to increase their effectiveness in producing casualties in humans or animals, degrading equipment or damaging crops or the environment.",
1A004.d             ,US_ECCN_1A004D,EN,12/17/2009,8/29/2017,US_ECCN_1A004,1/1/2050,"d. Electronic equipment designed for automatically detecting or identifying the presence of ""explosives"" (as listed in the annex at the end of Category 1) residues and utilizing 'trace detection' techniques (e.g., surface acoustic wave, ion mobility spectrometry, differential mobility spectrometry, mass spectrometry).  ",US,n/a,"Note: 1A004 does not control:  a. Personal radiation monitoring dosimeters;  b. Occupational health or safety equipment limited by design or function to protect against hazards specific to residential safety or civil industries, including:  1. Mining;  2. Quarrying; 3. Agriculture; 4. Pharmaceutical; 5. Medical; 6. Veterinary; 7. Environmental; 8. Waste management; 9. Food industry. Technical Notes:  1. 1A004 includes equipment, ""components"" that have been 'identified,' successfully tested to national standards or otherwise proven effective, for the detection of or defense against 'radioactive materials' """"'biological agents,' chemical warfare agents, 'simulants' or ""riot control agents,"" even if such equipment or ""components"" are used in civil industries such as mining, quarrying, agriculture, pharmaceuticals, medical, veterinary, environmental, waste management, or the food industry.  2. 'Simulant': A substance or material that is used in place of toxic agent (chemical or biological) in training, research, testing or evaluation.  3. For the purposes of 1A004, 'radioactive materials' are those selected or modified to increase their effectiveness in producing casualties in humans or animals, degrading equipment or damaging crops or the environment.",
1A005               ,US_ECCN_1A005,EN,1/1/1980,2/3/2015,US_ECCN_1A,1/1/2050,"Body armor and components therefor, as follows (see List of Items Controlled)",US,n/a,1. This entry does not control body armor or protective garments when accompanying their user for the user's own personal protection. 2. This entry does not control body armor designed to provide frontal protection only from both fragment and blast from non-military explosive devices.,
1A005.a             ,US_ECCN_1A005A,EN,10/8/2013,2/3/2015,US_ECCN_1A005,1/1/2050,"a. Soft body armor not manufactured to military standards or specifications, or to their equivalents, and ""specially designed"" ""components"" therefor.  Notes to ECCN 1A005: 1. This entry does not control body armor when accompanying its user for the user's own personal protection. 2. This entry does not control body armor designed to provide frontal protection only from both fragment and blast from non-military explosive devices. 3. This entry does not apply to body armor designed to provide protection only from knife, spike, needle or blunt trauma.",US,n/a,,
1A005.b             ,US_ECCN_1A005B,EN,10/8/2013,2/3/2015,US_ECCN_1A005,1/1/2050,"b. Hard body armor plates that provide ballistic protection less than NIJ level III (NIJ 0101.06, July 2008) or national equivalents.  Notes to ECCN 1A005: 1. This entry does not control body armor when accompanying its user for the user's own personal protection. 2. This entry does not control body armor designed to provide frontal protection only from both fragment and blast from non-military explosive devices. 3. This entry does not apply to body armor designed to provide protection only from knife, spike, needle or blunt trauma.",US,n/a,,
1A006               ,US_ECCN_1A006,EN,10/15/2008,11/25/2014,US_ECCN_1A,1/1/2050,"Equipment, ""specially designed"" or modified for the disposal of improvised explosive devices, as follows (see List of Items Controlled), and ""specially designed"" ""components"" and ""accessories"" therefor.",US,$ Value,,
1A006.a             ,US_ECCN_1A006A,EN,10/15/2008,10/15/2008,US_ECCN_1A006,1/1/2050,a. Remotely operated vehicles;,US,$ Value,,
1A006.b             ,US_ECCN_1A006B,EN,10/15/2008,10/15/2008,US_ECCN_1A006,1/1/2050,"b. ""Disruptors"".",US,$ Value,,
1A007               ,US_ECCN_1A007,EN,10/15/2008,8/29/2017,US_ECCN_1A,1/1/2050,"Equipment and devices, ""specially designed"" to initiate charges and devices containing energetic materials, by electrical means, as follows (see List of Items Controlled).",US,n/a,,
1A007.a             ,US_ECCN_1A007A,EN,10/15/2008,8/29/2017,US_ECCN_1A007,1/1/2050,a. Explosive detonator firing sets designed to drive explosive detonators specified by 1A007.b;,US,n/a,"1. The word initiator or igniter is sometimes used in place of the word detonator.  2. For the purpose of 1A007.b the detonators of concern all utilize a small electrical conductor (bridge, bridge wire, or foil) that explosively vaporizes when a fast, high-current electrical pulse is passed through it. In nonslapper types, the exploding conductor starts a chemical detonation in a contacting high explosive material such as PETN (pentaerythritoltetranitrate). In slapper detonators, the explosive vaporization of the electrical conductor drives a flyer or slapper across a gap, and the impact of the slapper on an explosive starts a chemical detonation. The slapper in some designs is driven by magnetic force. The term exploding foil detonator may refer to either an EB or a slappertype detonator.",
1A007.b.1           ,US_ECCN_1A007B1,EN,10/15/2008,8/29/2017,US_ECCN_1A007,1/1/2050,b. Electrically driven explosive detonators as follows:  b.1. Exploding bridge (EB);,US,n/a,"1. The word initiator or igniter is sometimes used in place of the word detonator.  2. For the purpose of 1A007.b the detonators of concern all utilize a small electrical conductor (bridge, bridge wire, or foil) that explosively vaporizes when a fast, high-current electrical pulse is passed through it. In nonslapper types, the exploding conductor starts a chemical detonation in a contacting high explosive material such as PETN (pentaerythritoltetranitrate). In slapper detonators, the explosive vaporization of the electrical conductor drives a flyer or slapper across a gap, and the impact of the slapper on an explosive starts a chemical detonation. The slapper in some designs is driven by magnetic force. The term exploding foil detonator may refer to either an EB or a slappertype detonator.",
1A007.b.2           ,US_ECCN_1A007B2,EN,10/15/2008,8/29/2017,US_ECCN_1A007,1/1/2050,b. Electrically driven explosive detonators as follows:  b.2. Exploding bridge wire (EBW);,US,n/a,"1. The word initiator or igniter is sometimes used in place of the word detonator.  2. For the purpose of 1A007.b the detonators of concern all utilize a small electrical conductor (bridge, bridge wire, or foil) that explosively vaporizes when a fast, high-current electrical pulse is passed through it. In nonslapper types, the exploding conductor starts a chemical detonation in a contacting high explosive material such as PETN (pentaerythritoltetranitrate). In slapper detonators, the explosive vaporization of the electrical conductor drives a flyer or slapper across a gap, and the impact of the slapper on an explosive starts a chemical detonation. The slapper in some designs is driven by magnetic force. The term exploding foil detonator may refer to either an EB or a slappertype detonator.",
1A007.b.3           ,US_ECCN_1A007B3,EN,10/15/2008,8/29/2017,US_ECCN_1A007,1/1/2050,b. Electrically driven explosive detonators as follows:  b.3. Slapper;,US,n/a,"1. The word initiator or igniter is sometimes used in place of the word detonator.  2. For the purpose of 1A007.b the detonators of concern all utilize a small electrical conductor (bridge, bridge wire, or foil) that explosively vaporizes when a fast, high-current electrical pulse is passed through it. In nonslapper types, the exploding conductor starts a chemical detonation in a contacting high explosive material such as PETN (pentaerythritoltetranitrate). In slapper detonators, the explosive vaporization of the electrical conductor drives a flyer or slapper across a gap, and the impact of the slapper on an explosive starts a chemical detonation. The slapper in some designs is driven by magnetic force. The term exploding foil detonator may refer to either an EB or a slappertype detonator.",
1A007.b.4           ,US_ECCN_1A007B4,EN,10/15/2008,8/29/2017,US_ECCN_1A007,1/1/2050,b. Electrically driven explosive detonators as follows:  b.4. Exploding foil initiators (EFI).,US,n/a,"1. The word initiator or igniter is sometimes used in place of the word detonator.  2. For the purpose of 1A007.b the detonators of concern all utilize a small electrical conductor (bridge, bridge wire, or foil) that explosively vaporizes when a fast, high-current electrical pulse is passed through it. In nonslapper types, the exploding conductor starts a chemical detonation in a contacting high explosive material such as PETN (pentaerythritoltetranitrate). In slapper detonators, the explosive vaporization of the electrical conductor drives a flyer or slapper across a gap, and the impact of the slapper on an explosive starts a chemical detonation. The slapper in some designs is driven by magnetic force. The term exploding foil detonator may refer to either an EB or a slappertype detonator.",
1A008               ,US_ECCN_1A008,EN,12/17/2009,2/3/2015,US_ECCN_1A,1/1/2050,"1A008 Charges, devices and ""components,"" as follows (see List of Items Controlled).",US,$ Value,,
1A008.a             ,US_ECCN_1A008A,EN,12/17/2009,12/17/2009,US_ECCN_1A008,1/1/2050,"a. ""Shaped charges"" having all of the following: a.1. Net Explosive Quantity (NEQ) greater than 90 g; and a.2. Outer casing diameter equal to or greater than 75 mm;  ",US,$ Value,'Shaped charges' are explosive charges shaped to focus the effects of the explosive blast.,
1A008.b             ,US_ECCN_1A008B,EN,12/17/2009,10/9/2013,US_ECCN_1A008,1/1/2050,"b. Linear shaped cutting charges having all of the following, and ""specially designed"" ""components"" therefor: b.1. An explosive load greater than 40 g/m; and b.2. A width of 10 mm or more;  ",US,$ Value,'Shaped charges' are explosive charges shaped to focus the effects of the explosive blast.,
1A008.c             ,US_ECCN_1A008C,EN,12/17/2009,12/17/2009,US_ECCN_1A008,1/1/2050,c. Detonating cord with explosive core load greater than 64 g/m;  ,US,$ Value,'Shaped charges' are explosive charges shaped to focus the effects of the explosive blast.,
1A008.d             ,US_ECCN_1A008D,EN,12/17/2009,12/17/2009,US_ECCN_1A008,1/1/2050,"d. Cutters, other than those specified by 1A008.b, and severing tools, having a NEQ greater than 3.5 kg.  ",US,$ Value,'Shaped charges' are explosive charges shaped to focus the effects of the explosive blast.,
1A101               ,US_ECCN_1A101,EN,1/1/1980,7/14/2014,US_ECCN_1A,1/1/2050,"Devices for reduced observables such as radar reflectivity, ultraviolet/infrared signatures and acoustic signatures, for applications usable in rockets, missiles, or unmanned aerial vehicles capable of achieving a ""range"" equal to or greater than 300 km or their complete subsystems.",US,n/a,,
1A102               ,US_ECCN_1A102,EN,1/1/1980,10/11/2013,US_ECCN_1A,1/1/2050,"Resaturated pyrolized carbon-carbon ""parts"" and ""components"" designed for rockets, missiles, or unmanned aerial vehicles capable of achieving a ""range"" equal to or greater than 300 km. (These items are ""subject to the ITAR."" See 22 CFR parts 120 through 130.)",US,,,
1A202               ,US_ECCN_1A202,EN,1/1/1980,12/6/2007,US_ECCN_1A,1/1/2050,"Composite structures, other than those controlled by 1A002, in the form of tubes and having both of the following characteristics (see List of Items Controlled).  a. An inside diameter of between 75 mm and 400 mm; and  b. Made with any of the ""fibrous or filamentary materials"" specified in 1C010.a or .b or 1C210.a or with carbon prepreg materials specified in 1C210.c.",US,Kilograms,,
1A225               ,US_ECCN_1A225,EN,1/1/1980,12/6/2007,US_ECCN_1A,1/1/2050,"Platinized catalysts ""specially designed"" or prepared for promoting the hydrogen isotope exchange reaction between hydrogen and water for the recovery of tritium from heavy water or for the production of heavy water.",US,Kilograms,,
1A226               ,US_ECCN_1A226,EN,1/1/1980,11/13/2006,US_ECCN_1A,1/1/2050,"Specialized packings, which may be used in separating heavy water from ordinary water, having both of the following characteristics (see List of Items Controlled).  a. Made of phosphor bronze mesh chemically treated to improve wettability; and b. Designed to be used in vacuum distillation towers.",US,$ Value,,
1A227               ,US_ECCN_1A227,EN,1/1/1980,12/6/2007,US_ECCN_1A,1/1/2050,"High-density (lead glass or other) radiation shielding windows, having all of the following characteristics (see List of Items Controlled), and ""specially designed"" frames therefor.  a. A ""cold area"" greater than 0.09 m\2\; b. A density greater than 3 g/cm\3\; and c. A thickness of 100 mm or greater.",US,$ Value,,
1A231               ,US_ECCN_1A231,EN,4/11/2018,4/11/2018,US_ECCN_1A,1/1/2050,Target assemblies and components for the production of tritium as follows (See List of Items Controlled):,US,,,
1A231.a             ,US_ECCN_1A231A,EN,4/11/2018,4/11/2018,US_ECCN_1A231,1/1/2050,"a. Target assemblies made of or containing lithium enriched in the lithium-6 isotope specially designed for the production of tritium through irradiation, including insertion in a nuclear reactor;",US,,,
1A231.b             ,US_ECCN_1A231B,EN,4/11/2018,4/11/2018,US_ECCN_1A231,1/1/2050,b. Components specially designed for the target assemblies specified in item a.,US,,"Technical Note to ECCN 1A231.b.: Components specially designed for target assemblies for the production of tritium may include lithium pellets, tritium getters, and speciallycoated cladding.",
1A290               ,US_ECCN_1A290,EN,1/1/1980,10/11/2013,US_ECCN_1A,1/1/2050,"Depleted uranium (any uranium containing less than 0.711% of the isotope U-235) in shipments of more than 1,000 kilograms in the form of shielding contained in X-ray units, radiographic exposure or teletherapy devices, radioactive thermoelectric generators, or packaging for the transportation of radioactive materials.",US,Kilograms,,
1A607               ,US_ECCN_1A607,EN,12/21/2016,12/21/2016,US_ECCN_1A,1/1/2050,"Military dissemination ""equipment"" for riot control agents, military detection and protection ""equipment"" for toxicological agents (including chemical, biological, and riot control agents), and related commodities (see List of Items Controlled).",US,,,
1A607.e             ,US_ECCN_1A607E,EN,12/21/2016,12/21/2016,US_ECCN_1A607,1/1/2050,"e. ""Equipment"" ""specially designed"" for military use and for the dissemination of any of the riot control agents controlled in ECCN 1C607.a.",US,,,
1A607.f             ,US_ECCN_1A607F,EN,12/21/2016,12/21/2016,US_ECCN_1A607,1/1/2050,"f. Protection ""equipment"" (including air conditioning units, protective coatings, and protective clothing):  f.1. Not controlled by USML Category XIV(f); and  f.2. ""Specially designed"" for military use and for defense against:  f.2.1. Materials specified by USML Category XIV (a) or (b); or  f.2.2. Riot control agents controlled in 1C607.a.",US,,,
1A607.g             ,US_ECCN_1A607G,EN,12/21/2016,12/21/2016,US_ECCN_1A607,1/1/2050,"g. Decontamination ""equipment"":",US,,,
1A607.h             ,US_ECCN_1A607H,EN,12/21/2016,12/21/2016,US_ECCN_1A607,1/1/2050,"h. ""Equipment"":  h.1. Not controlled by USML Category XIV(f); and  h.2. ""Specially designed"" for military use and for the detection or identification of:  h.2.1. Materials specified by USML Category XIV(a) or (b); or  h.2.2. Riot control agents controlled by ECCN 1C607.a.",US,,,
1A607.j             ,US_ECCN_1A607J,EN,12/21/2016,12/21/2016,US_ECCN_1A607,1/1/2050,"j. ""Equipment"" ""specially designed"" to:  j.1. Interface with a detector, shelter, vehicle, vessel, or aircraft controlled by the USML or a ""600 series"" ECCN; and  j.2. Collect and process samples of articles controlled in USML Category XIV(a) or (b).",US,,,
1A607.k             ,US_ECCN_1A607K,EN,12/21/2016,12/21/2016,US_ECCN_1A607,1/1/2050,"k. Medical countermeasures that are ""specially designed"" for military use (including pre- and post-treatments, antidotes, and medical diagnostics) and ""specially designed"" to counter chemical agents controlled by the USML Category XIV(a).  ",US,,"Note: Examples of ""equipment"" controlled by this entry are barrier and non-barrier creams and filled autoinjectors (e.g., combopens where one injector contains 2-PAM and the other atropine) if ""specially designed"" to counter such agents.",
1A607.x             ,US_ECCN_1A607X,EN,12/21/2016,12/21/2016,US_ECCN_1A607,1/1/2050,"x. ""Parts,"" ""components,"" ""accessories,"" and ""attachments"" that are ""specially designed"" for a commodity controlled by ECCN 1A607.e, .f, .g, .h, or .j or for a defense article controlled by USML Category XIV(f) and that are not enumerated or otherwise described elsewhere in the USML.",US,,,
1A613               ,US_ECCN_1A613,EN,3/19/2014,10/8/2016,US_ECCN_1A,1/1/2050,"Armored and protective ""equipment"" and related commodities, as follows",US,n/a,,
1A613.a             ,US_ECCN_1A613A,EN,3/19/2014,6/2/2015,US_ECCN_1A613,1/1/2050,"a. Metallic or non-metallic armored plate ""specially designed'' for military use and not controlled by the USML.  ",US,n/a,"Note to paragraph a: For controls on body armor plates, see ECCN 1A613.d.2 and USML Category X(a)(1).",
1A613.b.1           ,US_ECCN_1A613B1,EN,3/19/2014,3/19/2014,US_ECCN_1A613,1/1/2050,"b. Shelters ""specially designed"" to:   b.1. Provide ballistic protection for military systems, or",US,n/a,,
1A613.b.2           ,US_ECCN_1A613B2,EN,3/19/2014,3/19/2014,US_ECCN_1A613,1/1/2050,"b. Shelters ""specially designed"" to:   b.2. Protect against nuclear, biological, or chemical contamination.",US,n/a,,
1A613.c             ,US_ECCN_1A613C,EN,3/19/2014,10/8/2016,US_ECCN_1A613,1/1/2050,"c. Military helmets (other than helmets controlled under 1A613.y.1) providing less than NIJ Type IV protection and ""specially designed"" helmet shells, liners, or comfort pads therefor.",US,n/a,Note 1 to paragraph c: See ECCN 0A979 for controls on police helmets.  Note 2 to paragraph c: See USML Category X(a)(5) and (a)(6) for controls on other military helmets.,
1A613.d.1           ,US_ECCN_1A613D1,EN,3/19/2014,3/19/2014,US_ECCN_1A613,1/1/2050,"d. Body armor and protective garments, as follows:  d.1. Soft body armor and protective garments manufactured to military standards or specifications, or to their equivalents, that provide ballistic protection equal to or less than NIJ level III (NIJ 0101.06, July 2008); or   ",US,n/a,"Note: For 1A613.d.1, military standards or specifications include, at a minimum, specifications for fragmentation protection.",
1A613.d.2           ,US_ECCN_1A613D2,EN,3/19/2014,3/19/2014,US_ECCN_1A613,1/1/2050,"d. Body armor and protective garments, as follows:  d.2. Hard body armor plates that provide ballistic protection equal to NIJ level III (NIJ 0101.06, July 2008) or national equivalents.   ",US,n/a,"Note: See ECCN 1A005 for controls on soft body armor not manufactured to military standards or specifications and hard body armor plates providing less than NIJ level III protection. For body armor providing NIJ Type IV protection or greater, see USML Category X(a)(1).",
1A613.e             ,US_ECCN_1A613E,EN,3/19/2014,1/8/2015,US_ECCN_1A613,1/1/2050,"e. Atmospheric diving suits ""specially designed"" for rescue operations for submarines controlled by the USML or the CCL.",US,n/a,,
1A613.f             ,US_ECCN_1A613F,EN,3/19/2014,7/14/2014,US_ECCN_1A613,1/1/2050,"f. Other personal protective ""equipment"" ""specially designed"" for military applications not controlled by the USML, not elsewhere controlled on the CCL.",US,n/a,,
1A613.x             ,US_ECCN_1A613X,EN,3/19/2014,1/9/2015,US_ECCN_1A613,1/1/2050,"x. ""Parts,"" ""components,"" ""accessories,"" and ""attachments"" that are ""specially designed"" for a commodity enumerated or otherwise described in ECCN 1A613 (except for 1A613.y) or a defense article enumerated or otherwise described in USML Category X, and not elsewhere specified on the USML or in 3A611.y.  ",US,n/a,"Note: Forgings, castings, and other unfinished products, such as extrusions and machined bodies, that have reached a stage in manufacturing where they are clearly identifiable by mechanical properties, material composition, geometry, or function as commodities controlled by ECCN 1A613.x are controlled by ECCN 1A613.x.",
1A613.y.1           ,US_ECCN_1A613Y1,EN,3/19/2014,10/8/2016,US_ECCN_1A613,1/1/2050,y. Other commodities as follows:  y.1 Conventional military steel helmets.,US,n/a,"N.B. to paragraph y.1: For other military helmet ""components"" or ""accessories,"" see the relevant ECCN in the CCL or USML Entry.",
1A984               ,US_ECCN_1A984,EN,1/1/1980,7/14/2014,US_ECCN_1A,1/1/2050,"Chemical agents, including tear gas formulation containing 1 percent or less of orthochlorobenzalmalononitrile (CS), or 1 percent or less of chloroacetophenone (CN), except in individual containers with a net weight of 20 grams or less; liquid pepper except when packaged in individual containers with a net weight of 3 ounces (85.05 grams) or less; smoke bombs; non-irritant smoke flares, canisters, grenades and charges; and other pyrotechnic articles (excluding shotgun shells) having dual military and commercial use, and ""parts"" and ""components"" ""specially designed"" therefor, n.e.s.",US,n/a,,
1A985               ,US_ECCN_1A985,EN,1/1/1980,10/11/2013,US_ECCN_1A,1/1/2050,"Fingerprinting powders, dyes, and inks.",US,$ Value,,
1A995               ,US_ECCN_1A995,EN,1/1/1980,10/11/2013,US_ECCN_1A,1/1/2050,"DUPLICATE   Protective and detection equipment and components not ""specially designed"" for military use and not controlled by ECCN 1A004, as follows (see List of Items Controlled).",US,$ Value,"This entry (1A995) does not control items for protection against chemical or biological agents that are consumer goods, packaged for retail sale or personal use, or medical products, such as latex exam gloves, latex surgical gloves, liquid disinfectant soap, disposable surgical drapes, surgical gowns, surgical foot covers, and surgical masks. Such items are classified as EAR99.",
1A995.a             ,US_ECCN_1A995A,EN,1/2/1980,7/7/2008,US_ECCN_1A995,1/1/2050,a. Personal radiation monitoring dosimeters;,US,$ Value,"This entry (1A995) does not control items for protection against chemical or biological agents that are consumer goods, packaged for retail sale or personal use, or medical products, such as latex exam gloves, latex surgical gloves, liquid disinfectant soap, disposable surgical drapes, surgical gowns, surgical foot covers, and surgical masks. Such items are classified as EAR99.",
1A995.b             ,US_ECCN_1A995B,EN,1/2/1980,7/7/2008,US_ECCN_1A995,1/1/2050,"b. Equipment limited by design or function to protect against hazards specific to civil industries, such as mining, quarrying, agriculture, pharmaceuticals, medical, veterinary, environmental, waste management, or to the food industry.",US,$ Value,"This entry (1A995) does not control items for protection against chemical or biological agents that are consumer goods, packaged for retail sale or personal use, or medical products, such as latex exam gloves, latex surgical gloves, liquid disinfectant soap, disposable surgical drapes, surgical gowns, surgical foot covers, and surgical masks. Such items are classified as EAR99.",
1A999               ,US_ECCN_1A999,EN,1/1/1980,7/7/2008,US_ECCN_1A,1/1/2050,"Specific Processing Equipment, n.e.s., as Follows (See List of Items Controlled).",US,$ Value,,applies to entire entry. A license is required for items controlled by this entry to North Korea for anti-terrorism reasons. The Commerce Country Chart is not designed to determine AT licensing requirements for this entry. See Sec. 742.19 of the EAR for additional information.
1A999.a             ,US_ECCN_1A999A,EN,1/1/1980,3/20/2006,US_ECCN_1A999,1/1/2050,"a. Radiation detection, monitoring and measurement equipment, n.e.s.;",US,$ Value,,applies to entire entry. A license is required for items controlled by this entry to North Korea for anti-terrorism reasons. The Commerce Country Chart is not designed to determine AT licensing requirements for this entry. See Sec. 742.19 of the EAR for additional information.
1A999.b             ,US_ECCN_1A999B,EN,1/1/1980,3/20/2006,US_ECCN_1A999,1/1/2050,"b. Radiographic detection equipment such as x-ray converters, and storage phosphor image plates.",US,$ Value,,applies to entire entry. A license is required for items controlled by this entry to North Korea for anti-terrorism reasons. The Commerce Country Chart is not designed to determine AT licensing requirements for this entry. See Sec. 742.19 of the EAR for additional information.
1B                  ,US_ECCN_1B,EN,1/1/1980,1/1/1980,US_ECCN_1,1/1/2050,"Test, Inspection, and Production Equipment",US,,,
